	GEOID	Tot	M_Tot	M_65and66	M_67to69	M_70to74	M_75to79	M_80to84	M_85plus	F_Tot	F_65and66	F_67to69	F_70to74	F_75to79	F_80to84	F_85plus	id	Geographic	ObjectID	M_elder	F_elder	M_F_elder	Shape_Leng	Shape_Area
565	60750227021	1050.0	577.0	0.0	32.0	8.0	0.0	0.0	0.0	473.0	7.0	0.0	0.0	0.0	0.0	0.0	1500000US060750227021	Block Group 1, Census Tract 227.02, San Francisco County, California	252	40.0	7.0	47	0.105073341411	9.22466716916e-06
566	60750226001	1390.0	767.0	0.0	10.0	0.0	0.0	0.0	31.0	623.0	0.0	38.0	6.0	0.0	0.0	0.0	1500000US060750226001	Block Group 1, Census Tract 226, San Francisco County, California	250	41.0	44.0	85	0.360787188441	1.83000145101e-05
567	60750607001	12169.0	5802.0	82.0	30.0	70.0	105.0	0.0	0.0	6367.0	175.0	46.0	203.0	0.0	0.0	108.0	1500000US060750607001	Block Group 1, Census Tract 607, San Francisco County, California	556	287.0	532.0	819	0.815220805404	5.02591125546e-05
568	60750180001	2228.0	1468.0	14.0	57.0	17.0	0.0	0.0	0.0	760.0	0.0	31.0	9.0	0.0	0.0	9.0	1500000US060750180001	Block Group 1, Census Tract 180, San Francisco County, California	185	88.0	49.0	137	0.348944212944	1.50529350945e-05
569	60750607003	854.0	473.0	0.0	0.0	0.0	93.0	54.0	0.0	381.0	0.0	47.0	58.0	0.0	0.0	0.0	1500000US060750607003	Block Group 3, Census Tract 607, San Francisco County, California	558	147.0	105.0	252	0.0486660562194	2.93470657423e-06
570	60750615005	680.0	437.0	124.0	0.0	0.0	0.0	0.0	0.0	243.0	0.0	0.0	0.0	4.0	0.0	0.0	1500000US060750615005	Block Group 5, Census Tract 615, San Francisco County, California	573	124.0	4.0	128	0.170060029221	6.08159685986e-06
571	60750615001	1952.0	1044.0	0.0	0.0	96.0	0.0	0.0	0.0	908.0	47.0	57.0	96.0	0.0	0.0	0.0	1500000US060750615001	Block Group 1, Census Tract 615, San Francisco County, California	569	96.0	200.0	296	0.369969744925	2.12739309343e-05
572	60750615002	4040.0	2202.0	0.0	0.0	0.0	50.0	0.0	0.0	1838.0	0.0	0.0	0.0	0.0	0.0	0.0	1500000US060750615002	Block Group 2, Census Tract 615, San Francisco County, California	570	50.0	0.0	50	0.173550791401	1.10939425993e-05
573	60750615004	2925.0	1616.0	0.0	0.0	54.0	0.0	0.0	0.0	1309.0	0.0	0.0	0.0	0.0	0.0	0.0	1500000US060750615004	Block Group 4, Census Tract 615, San Francisco County, California	572	54.0	0.0	54	0.0800598937047	7.28591919544e-06
574	60750615003	3540.0	1884.0	50.0	0.0	220.0	0.0	0.0	53.0	1656.0	0.0	60.0	100.0	0.0	0.0	0.0	1500000US060750615003	Block Group 3, Census Tract 615, San Francisco County, California	571	323.0	160.0	483	0.124854465123	1.16450467211e-05
575	60750615006	3831.0	1994.0	56.0	64.0	0.0	55.0	0.0	15.0	1837.0	16.0	0.0	31.0	0.0	54.0	112.0	1500000US060750615006	Block Group 6, Census Tract 615, San Francisco County, California	574	190.0	213.0	403	0.148337958201	1.10356939041e-05
576	60750105001	933.0	478.0	8.0	11.0	15.0	0.0	18.0	39.0	455.0	9.0	11.0	26.0	19.0	21.0	28.0	1500000US060750105001	Block Group 1, Census Tract 105, San Francisco County, California	13	91.0	114.0	205	0.210586744771	1.34789324039e-05
577	60750105002	1846.0	922.0	40.0	55.0	39.0	67.0	50.0	51.0	924.0	20.0	19.0	49.0	99.0	35.0	81.0	1500000US060750105002	Block Group 2, Census Tract 105, San Francisco County, California	14	302.0	303.0	605	0.150695125585	1.58226748806e-05
578	60750179021	3008.0	1715.0	3.0	14.0	5.0	4.0	0.0	0.0	1293.0	0.0	4.0	27.0	0.0	0.0	0.0	1500000US060750179021	Block Group 1, Census Tract 179.02, San Francisco County, California	184	26.0	31.0	57	0.270273080387	3.49807287468e-05
